Name,Team,Role,Batting Style,Bowling Style
Bjorn Fortuin,South Africa,Bowler,Right hand Bat,Slow Left arm Orthodox
Blair Tickner,New Zealand,Bowler,Right hand Bat,Right arm Medium fast
Blessing Mahwire,Zimbabwe,Bowler,Right hand Bat,Right arm Fast medium
Blessing Muzarabani,Zimbabwe,Bowler,Right hand Bat,Right arm Fast medium
Bob Barber,England,Allrounder,Left hand Bat,Legbreak Googly
Bob Cowper,Australia,Batting Allrounder,Left hand Bat,Right arm Offbreak
Bob Simpson,Australia,Batting Allrounder,Right hand Bat,Legbreak Googly
Bob Taylor,England,Wicketkeeper Batter,Right hand Bat,Right arm Medium
Bob Willis,England,Bowler,Right hand Bat,Right arm Fast
Bobjee Narasimha Rao,India,Allrounder,Right hand Bat,Legbreak
Boeta Dippenaar,South Africa,Opening Batter,Right hand Bat,Right arm Offbreak
Boyd Rankin,Ireland,Bowler,Left hand Bat,Right arm Fast medium
Brad Evans,Zimbabwe,Allrounder,Right hand Bat,Right arm Fast
Brad Haddin,Australia,Wicketkeeper Batter,Right hand Bat,
Brad Hodge,Australia,Top order Batter,Right hand Bat,Right arm Offbreak
Brad Hogg,Australia,Allrounder,Left hand Bat,Left arm Wrist spin
Brad Taylor,England,Bowler,Right hand Bat,Right arm Offbreak
Brad Williams,Australia,Bowler,Right hand Bat,Right arm Fast
Brad Young,Australia,Bowler,Right hand Bat,Slow Left arm Orthodox
Bradmon Ediriweera,Sri Lanka,Allrounder,Left hand Bat,Right arm Medium
Brandon Bess,West Indies,Bowler,Right hand Bat,Right arm Fast medium
Brandon King,West Indies,Top order Batter,Right hand Bat,
Brandon Mavuta,Zimbabwe,Allrounder,Right hand Bat,Legbreak
Brendan Nash,West Indies,Middle order Batter,Left hand Bat,Left arm Medium
Brendan Taylor,Zimbabwe,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Brendon Diamanti,New Zealand,Batter,Right hand Bat,Right arm Medium fast
Brendon Julian,Australia,Allrounder,Right hand Bat,Left arm Fast medium
Brendon Kuruppu,Sri Lanka,Wicketkeeper Batter,Right hand Bat,
Brendon McCullum,New Zealand,Wicketkeeper Batter,Right hand Bat,"Right arm Medium, Right arm Offbreak"
Brent Arnel,New Zealand,Bowler,Right hand Bat,Right arm Medium fast
Brenton Parchment,West Indies,Bowler,Right hand Bat,Right arm Offbreak
Brett Dorey,Australia,Bowler,Right hand Bat,Right arm Fast medium
Brett Geeves,Australia,Bowler,Right hand Bat,Right arm Fast medium
Brett Hutton,England,Bowling Allrounder,Right hand Bat,Right arm Medium fast
Brett Lee,Australia,Bowler,Right hand Bat,Right arm Fast
Brian Booth,Australia,Middle order Batter,Right hand Bat,"Right arm Medium, Right arm Offbreak"
Brian Chari,Zimbabwe,Opening Batter,Right hand Bat,Right arm Offbreak
Brian Hastings,New Zealand,Top order Batter,Right hand Bat,Legbreak Googly
Brian Lara,West Indies,Batter,Left hand Bat,Legbreak Googly
Brian McMillan,South Africa,Batting Allrounder,Right hand Bat,Right arm Medium fast
Brian Mudzinganyama,Zimbabwe,Opening Batter,Left hand Bat,Right arm Offbreak
Brian Murphy,Zimbabwe,Bowler,Right hand Bat,Legbreak Googly
Brian Statham,England,Bowler,Left hand Bat,Right arm Fast medium
Brian Vitori,Zimbabwe,Bowler,Left hand Bat,Left arm Fast medium
Brijesh Patel,India,Middle order Batter,Right hand Bat,Right arm Offbreak
Britney Cooper,West Indies,Middle order Batter,Right hand Bat,Right arm Fast medium
Brooke Halliday,New Zealand,Allrounder,Left hand Bat,Right arm Medium
Bruce Edgar,New Zealand,Opening Batter,Left hand Bat,Right arm Bowler
Bruce French,England,Wicketkeeper Batter,Right hand Bat,
Bruce Laird,Australia,Opening Batter,Right hand Bat,
Bruce Martin,New Zealand,Bowler,Right hand Bat,Slow Left arm Orthodox
Bruce Reid,Australia,Bowler,Left hand Bat,Left arm Fast medium
Bruce Taylor,New Zealand,Allrounder,Left hand Bat,Right arm Fast medium
Bruce Yardley,Australia,Bowler,Right hand Bat,Right arm Offbreak
Bryan Charles,West Indies,Bowler,Right hand Bat,Right arm Offbreak
Bryan Strang,Zimbabwe,Bowler,Right hand Bat,Left arm Medium
Bryan Young,New Zealand,Wicketkeeper Batter,Right hand Bat,
Bryce McGain,Australia,Bowler,Right hand Bat,Legbreak Googly
Bryce Parsons,South Africa,Batting Allrounder,Left hand Bat,Slow Left arm Orthodox
Brydon Carse,England,Bowler,Right hand Bat,Right arm Fast
Bryony Smith,England,Allrounder,Right hand Bat,Right arm Offbreak
Burt Cockley,Australia,Bowler,Right hand Bat,Right arm Fast medium
Buwaneka Ekanayake,Sri Lanka,Wicketkeeper Batter,Left hand Bat,
Caleb Jewell,Australia,Batter,Left hand Bat,
Callum Ferguson,Australia,Middle order Batter,Right hand Bat,Right arm Medium
Callum McLachlan,New Zealand,Wicketkeeper,Right hand Bat,
Cam Fletcher,New Zealand,Wicketkeeper Batter,Right hand Bat,
Cameron Bancroft,Australia,Wicketkeeper Batter,Right hand Bat,
Cameron Boyce,Australia,Bowler,Right hand Bat,Legbreak
Cameron Cuffy,West Indies,Bowler,Right hand Bat,Right arm Fast
Cameron Green,Australia,Batting Allrounder,Right hand Bat,Right arm Fast medium
Cameron Valente,Australia,Bowling Allrounder,Right hand Bat,Right arm Medium
Cameron White,Australia,Middle order Batter,Right hand Bat,Legbreak Googly
Campbell Kellaway,Australia,Middle order Batter,Left hand Bat,
Caneisha Isaac,West Indies,Bowler,Right hand Bat,Right arm Medium
Cara Murray,Ireland,Bowler,Right hand Bat,Legbreak
Carl Hooper,West Indies,Allrounder,Right hand Bat,Right arm Offbreak
Carl Mumba,Zimbabwe,Bowler,Right hand Bat,Right arm Fast medium
Carl Rackemann,Australia,Bowler,Right hand Bat,Right arm Fast
Carlisle Best,West Indies,Top order Batter,Right hand Bat,
Carlos Brathwaite,West Indies,Allrounder,Right hand Bat,Right arm Fast medium
Carlton Baugh,West Indies,Wicketkeeper,Right hand Bat,Legbreak Googly
Cecelia Joyce,Ireland,Opening Batter,Right hand Bat,Legbreak
Cephas Zhuwao,Zimbabwe,Batter,Left hand Bat,Slow Left arm Orthodox
Chad Bowes,New Zealand,Top order Batter,Right hand Bat,Right arm Medium
Chadd Sayers,Australia,Bowler,Right hand Bat,Right arm Medium
Chadwick Walton,West Indies,Top order Batter,Right hand Bat,
Chama Milind,India,Bowler,Left hand Bat,Left arm Medium
Chamara Kapugedera,Sri Lanka,Middle order Batter,Right hand Bat,Right arm Medium
Chamara Silva,Sri Lanka,Batter,Right hand Bat,Legbreak
Chamari Athapaththu,Sri Lanka,Batting Allrounder,Left hand Bat,Right arm Offbreak
Chamika Gunasekara,Sri Lanka,Bowler,Right hand Bat,Right arm Medium fast
Chamika Karunaratne,Sri Lanka,Bowling Allrounder,Right hand Bat,Right arm Medium fast
Chamila Gamage,Sri Lanka,Bowler,Right hand Bat,Right arm Fast medium
Chaminda Mendis,Sri Lanka,Middle order Batter,Right hand Bat,Right arm Offbreak
Chaminda Vaas,Sri Lanka,Bowler,Left hand Bat,Left arm Fast medium
Chamindu Wijesinghe,Sri Lanka,Allrounder,Right hand Bat,Right arm Medium fast
Champaka Ramanayake,Sri Lanka,Bowler,Right hand Bat,Right arm Fast medium
Chamu Chibhabha,Zimbabwe,Top order Batter,Right hand Bat,Right arm Medium
Chanaka Komasaru,Sri Lanka,Bowler,Left hand Bat,Slow Left arm Orthodox
Chanaka Welegedara,Sri Lanka,Bowler,Right hand Bat,Left arm Fast medium
Chanaka Wijesinghe,Sri Lanka,Allrounder,Right hand Bat,Right arm Offbreak
Chandan Madan,India,Wicketkeeper,Right hand Bat,
Chandika Hathurusinghe,Sri Lanka,Allrounder,Right hand Bat,Right arm Medium fast
Chandika Ranatunga,Sri Lanka,Bowler,Right hand Bat,Slow Left arm Orthodox
Chandra Kumara,Sri Lanka,Allrounder,Right hand Bat,Right arm Medium fast
Chandrakant Pandit,India,Wicketkeeper Batter,Right hand Bat,
Chandrapaul Hemraj,West Indies,Opening Batter,Left hand Bat,Slow Left arm Orthodox
Chandu Borde,India,Allrounder,Right hand Bat,Legbreak
Charith Asalanka,Sri Lanka,Batting Allrounder,Left hand Bat,Right arm Offbreak
Charith Jayaweera,Sri Lanka,Bowler,Right hand Bat,Right arm Fast medium
Charith Sylvester,Sri Lanka,Wicketkeeper Batter,Left hand Bat,Right arm Offbreak
Charitha Buddhika,Sri Lanka,Allrounder,Right hand Bat,Right arm Fast medium
Charl Langeveldt,South Africa,Bowler,Right hand Bat,Right arm Fast medium
Charles Bannerman,Australia,Batter,Right hand Bat,
Charles Coventry,Zimbabwe,Top order Batter,Right hand Bat,Legbreak
Charlie Dean,England,Bowling Allrounder,Right hand Bat,Right arm Offbreak
Charlie Griffith,West Indies,Bowler,Right hand Bat,Right arm Fast
Charlie Lock,Zimbabwe,Bowler,Right hand Bat,Right arm Fast medium
Charlotte Edwards,England,Top order Batter,Right hand Bat,Legbreak
Charlton Tshuma,Zimbabwe,Bowler,Right hand Bat,Right arm Fast medium
Chathupama Gunasinghe,Sri Lanka,Bowler,Right hand Bat,Right arm Medium fast
Chaturanga de Silva,Sri Lanka,Allrounder,Left hand Bat,Slow Left arm Orthodox
Chedean Nation,West Indies,Middle order Batter,Right hand Bat,
Chemar Holder,West Indies,Bowler,Right hand Bat,Right arm Fast
Cherry-Ann Fraser,West Indies,Allrounder,Left hand Bat,Right arm Medium fast
Chetan Chauhan,India,Opening Batter,Right hand Bat,Right arm Offbreak
Chetan Sakariya,India,Bowler,Left hand Bat,Left arm Medium fast
Chetan Sharma,India,Bowler,Right hand Bat,Right arm Fast medium
Cheteshwar Pujara,India,Top order Batter,Right hand Bat,Legbreak
Chiedza Dhururu,Zimbabwe,Wicketkeeper,Right hand Bat,
Chihan Kalindu,Sri Lanka,Wicketkeeper,Left hand Bat,
Chinelle Henry,West Indies,Middle order Batter,Right hand Bat,Right arm Medium fast
Chinthaka Jayasinghe,Sri Lanka,Allrounder,Right hand Bat,Right arm Medium
Chinthaka Perera,Sri Lanka,Allrounder,Right hand Bat,Right arm Fast medium
Chipo Mugeri-Tiripano,Zimbabwe,Allrounder,Left hand Bat,Right arm Medium
Chloe Tryon,South Africa,Allrounder,Right hand Bat,Slow Left arm Orthodox
Chowdhur Md Rizwan,Bangladesh,Opening Batter,Right hand Bat,Right arm Medium
Chris Adams,England,Middle order Batter,Right hand Bat,Right arm Offbreak
Chris Barnwell,West Indies,Allrounder,Right hand Bat,Right arm Medium fast
Chris Broad,England,Opening Batter,Left hand Bat,Right arm Medium
Chris Cairns,New Zealand,Allrounder,Right hand Bat,Right arm Fast medium
Chris Dent,England,Opening Batter,Left hand Bat,Slow Left arm Orthodox
Chris Gayle,West Indies,Allrounder,Left hand Bat,Right arm Offbreak
Chris Harris,New Zealand,Allrounder,Left hand Bat,Right arm Medium
Chris Jordan,England,Bowler,Right hand Bat,Right arm Fast medium
Chris Lewis,England,Bowling Allrounder,Right hand Bat,Right arm Fast medium
Chris Lynn,Australia,Batter,Right hand Bat,Slow Left arm Orthodox
Chris Martin,New Zealand,Bowler,Right hand Bat,Right arm Fast medium
Chris Morris,South Africa,Bowling Allrounder,Right hand Bat,Right arm Fast medium
Chris Mpofu,Zimbabwe,Bowler,Right hand Bat,Right arm Fast medium
Chris Nevin,New Zealand,Wicketkeeper Batter,Right hand Bat,
Chris Old,England,Bowler,Left hand Bat,Right arm Fast medium
Chris Pringle,New Zealand,Bowler,Right hand Bat,Right arm Fast medium
Chris Read,England,Wicketkeeper Batter,Right hand Bat,
Chris Rogers,Australia,Opening Batter,Left hand Bat,Legbreak Googly
Chris Schofield,England,Bowling Allrounder,Left hand Bat,Legbreak
Chris Tavaré,England,Top order Batter,Right hand Bat,Right arm Offbreak
Chris Tremain,Australia,Bowler,Right hand Bat,Right arm Medium fast
Chris Tremlett,England,Bowler,Right hand Bat,Right arm Medium fast
Chris Woakes,England,Allrounder,Right hand Bat,Right arm Fast medium
Chris Wood,England,Bowler,Right hand Bat,Left arm Medium fast
Christiaan Jonker,South Africa,Middle order Batter,Right hand Bat,Right arm Medium fast
Ciara Metcalfe,Ireland,Bowler,Left hand Bat,Legbreak
Claire Taylor,England,Wicketkeeper,Right hand Bat,
Clare Shillington,Ireland,Opening Batter,Right hand Bat,Right arm Offbreak
Claude Henderson,South Africa,Bowler,Right hand Bat,Slow Left arm Orthodox
Clint Bowyer,South Africa,Opening Batter,Left hand Bat,Right arm Offbreak
Clint Hinchliffe,Australia,Allrounder,Left hand Bat,Left arm Wrist spin
Clint McKay,Australia,Bowler,Right hand Bat,Right arm Fast medium
Clive Lloyd,West Indies,Middle order Batter,Left hand Bat,Right arm Medium
Clive Madande,Zimbabwe,Wicketkeeper Batter,Right hand Bat,
Clive Rose,Australia,Bowler,Right hand Bat,Slow Left arm Orthodox
Clyde Fortuin,South Africa,Wicketkeeper Batter,Right hand Bat,
Cole McConchie,New Zealand,Allrounder,Right hand Bat,Right arm Offbreak
Colin Cowdrey,England,Top order Batter,Right hand Bat,Legbreak
Colin Croft,West Indies,Bowler,Right hand Bat,Right arm Fast
Colin de Grandhomme,New Zealand,Allrounder,Right hand Bat,Right arm Medium fast
Colin Ingram,South Africa,Top order Batter,Left hand Bat,Legbreak
Colin McDonald,Australia,Opening Batter,Right hand Bat,
Colin Munro,New Zealand,Opening Batter,Left hand Bat,Right arm Medium fast
Connor Sullivan,New Zealand,Bowler,Right hand Bat,Left arm Medium fast
Conor McKerr,South Africa,Bowler,Right hand Bat,Right arm Fast
Conor Olphert,Ireland,Bowler,Right hand Bat,Right arm Medium
Conrad Hunte,West Indies,Opening Batter,Right hand Bat,Right arm Medium
Cooper Connolly,Australia,Top order Batter,Left hand Bat,Slow Left arm Orthodox
Corbin Bosch,South Africa,Allrounder,Right hand Bat,Right arm Fast medium
Corey Anderson,New Zealand,Batting Allrounder,Left hand Bat,Left arm Medium fast
Corey Collymore,West Indies,Bowler,Right hand Bat,Right arm Fast medium
Corey Richards,Australia,Top order Batter,Right hand Bat,Right arm Medium
Courtney Browne,West Indies,Wicketkeeper Batter,Right hand Bat,
Courtney Walsh,West Indies,Bowler,Right hand Bat,Right arm Fast
Craig Cumming,New Zealand,Opening Batter,Right hand Bat,
Craig Ervine,Zimbabwe,Middle order Batter,Left hand Bat,Right arm Offbreak
Craig Evans,Zimbabwe,Allrounder,Right hand Bat,Right arm Medium
Craig Kieswetter,England,Opening Batter,Right hand Bat,Right arm Offbreak
Craig Matthews,South Africa,Bowler,Right hand Bat,Right arm Fast medium
Craig McDermott,Australia,Bowler,Right hand Bat,Right arm Fast
Craig McMillan,New Zealand,Batter,Right hand Bat,Right arm Medium
Craig Overton,England,Bowling Allrounder,Right hand Bat,Right arm Medium fast
Craig Simmons,Australia,Opening Batter,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox, Left arm Wrist spin"
Craig Spearman,New Zealand,Opening Batter,Right hand Bat,
Craig White,England,Allrounder,Right hand Bat,"Right arm Fast medium, Right arm Offbreak"
Craig Wishart,Zimbabwe,Opening Batter,Right hand Bat,Right arm Offbreak
Craig Young,Ireland,Bowler,Right hand Bat,Right arm Fast medium
Curtis Campher,Ireland,Allrounder,Right hand Bat,Right arm Medium fast
Curtly Ambrose,West Indies,Bowler,Left hand Bat,Right arm Fast
D'Arcy Short,Australia,Opening Batter,Left hand Bat,Left arm Wrist spin
Dale Benkenstein,South Africa,Allrounder,Right hand Bat,"Right arm Medium, Right arm Offbreak"
Dale Phillips,New Zealand,Middle order Batter,Right hand Bat,Right arm Fast medium
Dale Richards,West Indies,Batter,Right hand Bat,Right arm Medium
Dale Steyn,South Africa,Bowler,Right hand Bat,Right arm Fast
Damien Fleming,Australia,Bowler,Right hand Bat,Right arm Fast medium
Damien Martyn,Australia,Top order Batter,Right hand Bat,Right arm Medium
Damith Indika,Sri Lanka,Batter,Right hand Bat,Legbreak
Damitha Hunukumbura,Sri Lanka,Wicketkeeper Batter,Left hand Bat,
Dan Christian,Australia,Allrounder,Right hand Bat,Right arm Fast medium
Dan Cullen,Australia,Bowler,Right hand Bat,Right arm Offbreak
Dan Lawrence,England,Middle order Batter,Right hand Bat,Right arm Offbreak
Dan Mousley,England,Batting Allrounder,Left hand Bat,Right arm Offbreak
Danal Hemananda,Sri Lanka,Allrounder,Left hand Bat,Left arm Medium
Dane Cleaver,New Zealand,Wicketkeeper Batter,Right hand Bat,Legbreak
Dane Paterson,South Africa,Bowler,Right hand Bat,Right arm Fast medium
Dane Piedt,South Africa,Bowler,Right hand Bat,Right arm Offbreak
Dane van Niekerk,South Africa,Allrounder,Right hand Bat,Legbreak
Dane Vilas,South Africa,Wicketkeeper Batter,Right hand Bat,
Danial Ibrahim,England,Batting Allrounder,Right hand Bat,Right arm Medium
Daniel Bell-Drummond,England,Opening Batter,Right hand Bat,Right arm Medium fast
Daniel Flynn,New Zealand,Middle order Batter,Left hand Bat,Left arm Slow
Daniel Sams,Australia,Allrounder,Right hand Bat,Left arm Fast medium
Daniel Vettori,New Zealand,Allrounder,Left hand Bat,Slow Left arm Orthodox
Daniel Worrall,Australia,Bowler,Right hand Bat,Right arm Fast medium
Danielle Hazell,England,Bowler,Right hand Bat,Right arm Offbreak
Danielle Small,West Indies,Opening Batter,Right hand Bat,Right arm Medium fast
Danish Aziz,Pakistan,Allrounder,Left hand Bat,Slow Left arm Orthodox
Danish Kaneria,Pakistan,Bowler,Right hand Bat,Legbreak
Danni Wyatt,England,Top order Batter,Right hand Bat,Right arm Offbreak
Danny Briggs,England,Bowler,Right hand Bat,Slow Left arm Orthodox
Danny Morrison,New Zealand,Bowler,Right hand Bat,Right arm Fast medium
Danushka Gunathilaka,Sri Lanka,Allrounder,Left hand Bat,Right arm Offbreak
Danza Hyatt,West Indies,Allrounder,Right hand Bat,Right arm Medium
Darcie Brown,Australia,Bowler,Right hand Bat,Right arm Fast
Daren Ganga,West Indies,Batter,Right hand Bat,Right arm Offbreak
Daren Powell,West Indies,Bowler,Right hand Bat,Right arm Fast medium
Daren Sammy,West Indies,Allrounder,Right hand Bat,Right arm Medium
Darren Bravo,West Indies,Top order Batter,Left hand Bat,Right arm Medium
Darren Gough,England,Bowler,Right hand Bat,Right arm Fast medium
Darren Lehmann,Australia,Top order Batter,Left hand Bat,Slow Left arm Orthodox
Darren Maddy,England,Allrounder,Right hand Bat,Right arm Medium
Darren Pattinson,England,Bowler,Right hand Bat,Right arm Fast medium
Darshan Nalkande,India,Bowler,Right hand Bat,Right arm Fast medium
Darwish Rasooli,Afghanistan,Top order Batter,Right hand Bat,Right arm Offbreak
Daryl Ferrario,India,Allrounder,Right hand Bat,Right arm Offbreak
Daryl Mitchell,New Zealand,Allrounder,Right hand Bat,Right arm Medium
Daryl Tuffey,New Zealand,Bowler,Right hand Bat,Right arm Fast medium
Daryll Cullinan,South Africa,Top order Batter,Right hand Bat,Right arm Offbreak
Daryn Dupavillon,South Africa,Bowler,Right hand Bat,Right arm Fast
Dasun Shanaka,Sri Lanka,Allrounder,Right hand Bat,Right arm Medium
Dave Callaghan,South Africa,Allrounder,Right hand Bat,Right arm Medium
Dave Houghton,Zimbabwe,Middle order Batter,Right hand Bat,Right arm Offbreak
Dave Joseph,West Indies,Bowler,Right hand Bat,Right arm Medium fast
David Allen,England,Allrounder,Right hand Bat,Right arm Offbreak
David Bedingham,South Africa,Middle order Batter,Right hand Bat,
David Boon,Australia,Top order Batter,Right hand Bat,Right arm Offbreak
David Brain,Zimbabwe,Bowler,Right hand Bat,Left arm Fast medium
David Capel,England,Bowler,Right hand Bat,Right arm Medium fast
David Delany,Ireland,Bowler,Left hand Bat,Right arm Fast medium
David Gower,England,Top order Batter,Left hand Bat,Right arm Offbreak
David Grant,Australia,Bowler,Right hand Bat,Right arm Fast medium
David Hookes,Australia,Middle order Batter,Left hand Bat,
David Hussey,Australia,Allrounder,Right hand Bat,Right arm Offbreak
David Lloyd,England,Allrounder,Left hand Bat,Slow Left arm Orthodox
David Miller,South Africa,Middle order Batter,Left hand Bat,Right arm Offbreak
David Murray,West Indies,Wicketkeeper Batter,Right hand Bat,
David Payne,England,Bowler,Right hand Bat,Left arm Fast medium
David Rankin,Ireland,Opening Batter,Right hand Bat,Right arm Offbreak
David Richardson,South Africa,Wicketkeeper Batter,Right hand Bat,
David Sales,England,Top order Batter,Right hand Bat,Right arm Medium
David Smith,England,Allrounder,Left hand Bat,Right arm Medium
David Warner,Australia,Opening Batter,Left hand Bat,Legbreak
David Willey,England,Bowling Allrounder,Left hand Bat,Left arm Fast medium
David Williams,West Indies,Wicketkeeper Batter,Right hand Bat,Legbreak
Davy Jacobs,South Africa,Wicketkeeper Batter,Right hand Bat,Right arm Medium
Dawid Malan,England,Top order Batter,Left hand Bat,Legbreak
Dawlat Ahmadzai,Afghanistan,Bowler,Right hand Bat,Right arm Fast medium
